Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
8da4b26f-9f34-3540-bb61-345286bc82f3,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,32.665862,-117.097361,6194704321,0.0,356
23e9ce6e-0c86-3292-957b-8e33bfcaebd9,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,32.8153,-117.134993,6195436222,0.0,9
589502e3-db49-31f2-a69e-b1d5813a447e,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,32.769495,-117.021923,6194650711,0.0,99
1959ed2b-125f-3367-b17f-35c0a9fb1d3c,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,39.50301500000001,-121.566473,5305338500,0.0,166
0ec62ab3-0f56-3610-bec9-173dff179f60,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,39.769492,-121.92933700000002,5303327300,0.0,23
90d24d77-5b76-333c-ae6b-232031d08d25,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,34.181393,-118.24583,8185021900,0.0,81
569679a4-a8d9-39cf-8f93-35653d50dfed,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,37.902666,-122.040479,9252954000,0.0,30
7e32d373-72e2-3b28-abf5-663621aca068,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,36.782674,-119.794492,5594503000,0.0,10
2deeb7c4-7750-3077-ad6e-5bbbb8efb261,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,34.181393,-118.24583,8187907100,0.0,19
3478468a-d2e3-301f-8ce6-068044353fb0,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,33.164261,-117.169992,7607248411,0.0,91
7dbe8a71-ceef-3e3e-b99e-fc3d1b5921a1,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,34.088267,-118.37183,3234622271,0.0,7
2486b094-3310-3bfa-98d9-0ba6437782c5,KAISER FOUNDATION HOSPITAL FONTANA,9961 SIERRA AVE,FONTANA,CA,92335,34.108793,-117.462685,9094275500,0.0,8
44775a1f-e761-3ec7-aa7d-45d55684a9e5,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,37.902666,-122.040479,9259393000,0.0,99
259371f6-1d98-3729-8003-f6ca1c5724c5,GEORGE L MEE MEMORIAL HOSPITAL,300 CANAL STREET,KING CITY,CA,93930,36.208771,-121.152411,8313856000,0.0,70
cfcb347c-b215-35cc-b9b1-02381b5c4ee4,ST MARY MEDICAL CENTER,1050 LINDEN AVE,LONG BEACH,CA,90813,33.809102,-118.155327,5624919000,0.0,1
57f46fca-04bd-3d5b-88cc-338d80731cd2,EAST VALLEY GLENDORA HOSPITAL,150 WEST ROUTE 66,GLENDORA,CA,91740,34.145433000000004,-117.846961,6263350231,0.0,1
fe96464c-8f14-3dfb-be97-1163c69cb2cb,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,32.62767,-117.01517,6195025800,0.0,177
6b4e2d68-92fd-3716-8d42-af98aa519894,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,33.855497,-117.760071,7147741450,0.0,78
017ea04b-09f8-3041-a750-47a3738c1575,SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,CORONADO,CA,92118,32.657202000000005,-117.15613700000002,6194356251,0.0,101
d1ae4816-4832-3c80-bc2c-04b0f7e2551a,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA,BURBANK,CA,91505,34.188986,-118.324866,8188435111,0.0,25
b300b03d-801a-3e7b-a5d0-acf22a38da3f,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,34.181393,-118.24583,8184098202,0.0,55
deb17ef6-d39c-3281-a2ea-bfac6613cd21,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,CA,92262,33.800898,-116.537993,7603236511,0.0,86
ba695199-e528-3bcd-9233-ed01baa1af39,ARROWHEAD REGIONAL MEDICAL CENTER,400 NORTH PEPPER AVENUE,COLTON,CA,92324,34.05455300000001,-117.325031,9095801000,0.0,20
47905ca4-759d-3d3c-8a24-124df79772a9,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,CA,94553,37.999635,-122.113903,9253705000,0.0,101
83b53cf0-a3e7-3485-912c-1a494b2f6a83,HI-DESERT MEDICAL CENTER,6601 WHITE FEATHER ROAD,JOSHUA TREE,CA,92252,34.122471000000004,-116.313663,7603663711,0.0,138
83997944-73a8-36bc-8f53-811a03e7674e,SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,DALY CITY,CA,94015,37.700941,-122.464978,6509924000,0.0,679
cb5e7d59-393b-37e6-84a7-3aaac1a352c6,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,26520 CACTUS AVENUE,MORENO VALLEY,CA,92555,33.923253,-117.205685,9514864000,0.0,130
